AQHN01000001.1:['XOC_0082', '3662173', '3662482', '-1', '64.151', 'True']
AUFB01000001.1:['XOC_0078', '6135302', '6136850', '1', '75.595', 'True']
AUFB01000001.1:['XOC_0083', '6130239', '6131532', '1', '84.161', 'True']
AUFB01000001.1:['XOC_0083', '4557052', '4558297', '-1', '28.08', 'True']
AUFB01000001.1:['XOC_0084', '6128947', '6130150', '1', '87.0', 'True']
AUFB01000001.1:['XOC_0079', '6134122', '6135121', '1', '75.227', 'True']
AUFB01000001.1:['XOC_0077', '6136846', '6137749', '1', '71.777', 'True']
CP006877.1:['XOC_0082', '4785449', '4785758', '1', '61.321', 'True']
CP006877.1:['XOC_0077', '4790676', '4791576', '1', '73.103', 'True']
CP006877.1:['XOC_0078', '4789129', '4790680', '1', '76.346', 'True']
CP006877.1:['XOC_0081', '4785744', '4786590', '1', '86.142', 'True']
CP006877.1:['XOC_0083', '4784155', '4785448', '1', '86.364', 'True']
CP006877.1:['XOC_0079', '4787997', '4788996', '1', '77.341', 'True']
CP006877.1:['XOC_0084', '4782857', '4784060', '1', '89.5', 'True']
CP006877.1:['XOC_0083', '1459239', '1460484', '-1', '28.406', 'True']
CP006877.1:['XOC_0080', '4786595', '4787933', '1', '80.449', 'True']
KI912159.1:['XOC_0081', '5641554', '5642409', '1', '81.695', 'True']
KI912159.1:['XOC_0077', '5646725', '5647628', '1', '73.038', 'True']
KI912159.1:['XOC_0079', '5643902', '5644868', '1', '79.375', 'True']
KI912159.1:['XOC_0084', '5638696', '5639899', '1', '89.25', 'True']
KI912159.1:['XOC_0082', '5641284', '5641542', '1', '81.695', 'True']
KI912159.1:['XOC_0078', '5645178', '5646729', '1', '76.529', 'True']
KI912159.1:['XOC_0080', '5642408', '5643752', '1', '86.801', 'True']
KI912159.1:['XOC_0085', '5532695', '5533928', '-1', '81.347', 'True']
KI912159.1:['XOC_0083', '5639993', '5641283', '1', '84.419', 'True']
KI912159.1:['XOC_0076', '5647712', '5648768', '1', '87.755', 'True']
HE616890.1:['XOC_0082', '4779073', '4779382', '-1', '63.725', 'True']
HE616890.1:['XOC_0078', '4775055', '4776606', '-1', '76.154', 'True']
HE616890.1:['XOC_0081', '1600765', '1601521', '1', '41.833', 'True']
HE616890.1:['XOC_0079', '3562766', '3563681', '1', '39.721', 'True']
HE616890.1:['XOC_0076', '4773021', '4774071', '-1', '89.443', 'True']
HE616890.1:['XOC_0080', '4776741', '4778862', '-1', '86.217', 'True']
HE616890.1:['XOC_0083', '4779383', '4780691', '-1', '34.347', 'True']
HE616890.1:['XOC_0077', '4774156', '4775059', '-1', '74.061', 'True']
AP012206.1:['XOC_0078', '7952336', '7953896', '-1', '75.595', 'True']
AP012206.1:['XOC_0082', '7957384', '7957675', '-1', '65.217', 'True']
AP012206.1:['XOC_0083', '7957676', '7958966', '-1', '84.235', 'True']
AP012206.1:['XOC_0079', '7954038', '7955037', '-1', '75.684', 'True']
AP012206.1:['XOC_0080', '7955191', '7956535', '-1', '82.55', 'True']
AP012206.1:['XOC_0081', '7956534', '7957380', '-1', '88.015', 'True']
AP012206.1:['XOC_0077', '7951447', '7952350', '-1', '73.038', 'True']
AP012206.1:['XOC_0084', '7959060', '7960266', '-1', '89.141', 'True']
AJQH01000001.1:['XOC_0082', '6801860', '6802151', '-1', '65.217', 'True']
AJQH01000001.1:['XOC_0084', '6803536', '6804742', '-1', '89.141', 'True']
AJQH01000001.1:['XOC_0083', '6802152', '6803442', '-1', '84.471', 'True']
AJQH01000001.1:['XOC_0079', '6798514', '6799513', '-1', '75.988', 'True']
AJQH01000001.1:['XOC_0080', '6799667', '6801011', '-1', '82.55', 'True']
AJQH01000001.1:['XOC_0081', '6801010', '6801856', '-1', '88.015', 'True']
AJQH01000001.1:['XOC_0077', '6795922', '6796825', '-1', '73.038', 'True']
AJQH01000001.1:['XOC_0078', '6796821', '6798372', '-1', '74.615', 'True']
AXAH01000003.1:['XOC_0077', '6695638', '6696541', '1', '73.72', 'True']
AXAH01000003.1:['XOC_0078', '6694085', '6695642', '1', '74.713', 'True']
AXAH01000003.1:['XOC_0080', '6691342', '6692686', '1', '84.34', 'True']
AXAH01000003.1:['XOC_0081', '6690497', '6691343', '1', '83.395', 'True']
AXAH01000003.1:['XOC_0079', '6692831', '6693839', '1', '77.313', 'True']
AXAH01000003.1:['XOC_0084', '6687612', '6688815', '1', '87.5', 'True']
AXAH01000003.1:['XOC_0082', '6690201', '6690501', '1', '73.494', 'True']
AXAH01000003.1:['XOC_0083', '6688910', '6690200', '1', '84.689', 'True']
CP015064.1:['XOC_0082', '1327047', '1327356', '1', '62.745', 'True']
CP015064.1:['XOC_0080', '1328187', '1329531', '1', '85.906', 'True']
CP015064.1:['XOC_0077', '1332475', '1333369', '1', '70.648', 'True']
CP015064.1:['XOC_0084', '1324465', '1325668', '1', '89.75', 'True']
CP015064.1:['XOC_0083', '1325762', '1327046', '1', '84.87', 'True']
CP015064.1:['XOC_0076', '1333355', '1334507', '1', '85.393', 'True']
CP015064.1:['XOC_0081', '1327342', '1328188', '1', '85.768', 'True']
CP015064.1:['XOC_0078', '1330931', '1332479', '1', '75.542', 'True']
CP015064.1:['XOC_0079', '1329605', '1330637', '1', '77.015', 'True']
LGUJ01000001.1:['XOC_0082', '8800453', '8800744', '1', '66.304', 'True']
LGUJ01000001.1:['XOC_0080', '8801593', '8802937', '1', '82.998', 'True']
LGUJ01000001.1:['XOC_0083', '8799162', '8800452', '1', '84.706', 'True']
LGUJ01000001.1:['XOC_0081', '8800748', '8801594', '1', '87.64', 'True']
LGUJ01000001.1:['XOC_0079', '8803091', '8804090', '1', '75.684', 'True']
LGUJ01000001.1:['XOC_0077', '8805779', '8806682', '1', '73.038', 'True']
LGUJ01000001.1:['XOC_0084', '8797873', '8799079', '1', '88.889', 'True']
LGUJ01000001.1:['XOC_0078', '8804232', '8805783', '1', '74.615', 'True']
ATYC01000007.1:['XOC_0080', '7158626', '7159964', '1', '84.27', 'True']
ATYC01000007.1:['XOC_0082', '7157459', '7157780', '1', '84.928', 'True']
ATYC01000007.1:['XOC_0079', '7160103', '7161102', '1', '76.061', 'True']
ATYC01000007.1:['XOC_0078', '7161192', '7162743', '1', '75.385', 'True']
ATYC01000007.1:['XOC_0085', '7164920', '7166198', '1', '82.216', 'True']
ATYC01000007.1:['XOC_0081', '7157730', '7158612', '1', '84.058', 'True']
ATYC01000007.1:['XOC_0077', '7162739', '7163642', '1', '73.379', 'True']
ATYC01000007.1:['XOC_0083', '7156178', '7157438', '1', '84.928', 'True']
ATYC01000007.1:['XOC_0084', '7154881', '7156084', '1', '88.5', 'True']
ATYC01000007.1:['XOC_0076', '7163727', '7164783', '1', '87.683', 'True']
AGSN01000001.1:['XOC_0076', '4724396', '4725446', '1', '88.27', 'True']
AGSN01000001.1:['XOC_0080', '4719073', '4720411', '1', '86.292', 'True']
AGSN01000001.1:['XOC_0084', '4715330', '4716533', '1', '89.0', 'True']
AGSN01000001.1:['XOC_0079', '4720558', '4721557', '1', '77.644', 'True']
AGSN01000001.1:['XOC_0081', '4718176', '4719058', '1', '84.286', 'True']
AGSN01000001.1:['XOC_0078', '4721864', '4723415', '1', '75.577', 'True']
AGSN01000001.1:['XOC_0083', '4716626', '4717916', '1', '86.047', 'True']
AGSN01000001.1:['XOC_0082', '4717917', '4718226', '1', '64.706', 'True']
AGSN01000001.1:['XOC_0077', '4723411', '4724314', '1', '73.038', 'True']
ATYQ01000001.1:['XOC_0080', '7354718', '7356062', '1', '84.34', 'True']
ATYQ01000001.1:['XOC_0078', '7357285', '7358836', '1', '73.603', 'True']
ATYQ01000001.1:['XOC_0081', '7353876', '7354719', '1', '85.609', 'True']
ATYQ01000001.1:['XOC_0084', '7350993', '7352196', '1', '87.25', 'True']
ATYQ01000001.1:['XOC_0077', '7358832', '7359735', '1', '71.769', 'True']
ATYQ01000001.1:['XOC_0082', '7353581', '7353890', '1', '65.686', 'True']
ATYQ01000001.1:['XOC_0083', '7352290', '7353580', '1', '34.043', 'True']
ATYQ01000001.1:['XOC_0076', '7359754', '7360849', '1', '87.683', 'True']
ATYQ01000001.1:['XOC_0079', '7356168', '7357077', '1', '77.32', 'True']
CP001074.1:['XOC_0078', '5254827', '5256381', '-1', '73.176', 'True']
CP001074.1:['XOC_0081', '5258498', '5259341', '-1', '84.791', 'True']
CP001074.1:['XOC_0083', '5260608', '5260929', '-1', '84.928', 'True']
CP001074.1:['XOC_0082', '5259327', '5260587', '-1', '84.928', 'True']
CP001074.1:['XOC_0084', '5260934', '5262215', '-1', '85.5', 'True']
CP001074.1:['XOC_0079', '5251657', '5252587', '1', '32.319', 'True']
CP001074.1:['XOC_0076', '5252775', '5253942', '-1', '82.222', 'True']
CP001074.1:['XOC_0086', '5251657', '5252587', '1', '100.0', 'True']
CP001074.1:['XOC_0077', '5253928', '5254831', '-1', '70.169', 'True']
CP001074.1:['XOC_0080', '5256501', '5258499', '-1', '75.901', 'True']
AEYZ01000001.1:['XOC_0076', '1437333', '1438500', '1', '82.222', 'True']
AEYZ01000001.1:['XOC_0079', '1438688', '1439618', '-1', '32.7', 'True']
AEYZ01000001.1:['XOC_0081', '4675569', '4676352', '1', '36.742', 'True']
AEYZ01000001.1:['XOC_0086', '1438688', '1439618', '-1', '99.676', 'True']
AEYZ01000001.1:['XOC_0080', '4054585', '4055998', '-1', '29.279', 'False']
AEYZ01000001.1:['XOC_0084', '4745822', '4747040', '1', '26.774', 'True']
AEYZ01000001.1:['XOC_0077', '1436444', '1437347', '1', '70.169', 'True']
AEYZ01000001.1:['XOC_0083', '5510892', '5512137', '-1', '28.986', 'True']
AEYZ01000001.1:['XOC_0078', '1436208', '1436448', '1', '66.176', 'False']
AP003017.1:['XOC_0079', '5401410', '5402376', '1', '78.438', 'True']
AP003017.1:['XOC_0080', '5399942', '5401286', '1', '86.353', 'True']
AP003017.1:['XOC_0085', '5166192', '5167425', '-1', '80.829', 'True']
AP003017.1:['XOC_0081', '5399088', '5399943', '1', '81.695', 'True']
AP003017.1:['XOC_0083', '5397527', '5398817', '1', '84.884', 'True']
AP003017.1:['XOC_0076', '5405220', '5406276', '1', '87.464', 'True']
AP003017.1:['XOC_0078', '5402686', '5404237', '1', '75.769', 'True']
AP003017.1:['XOC_0077', '5404233', '5405136', '1', '73.038', 'True']
AP003017.1:['XOC_0084', '5396230', '5397433', '1', '88.75', 'True']
AP003017.1:['XOC_0082', '5398818', '5399076', '1', '81.695', 'True']
AJQG01000001.1:['XOC_0079', '2314426', '2315425', '-1', '75.988', 'True']
AJQG01000001.1:['XOC_0081', '2316922', '2317768', '-1', '88.015', 'True']
AJQG01000001.1:['XOC_0080', '2315579', '2316923', '-1', '82.55', 'True']
AJQG01000001.1:['XOC_0082', '2317777', '2318035', '-1', '51.389', 'True']
AJQG01000001.1:['XOC_0078', '2312733', '2314284', '-1', '74.615', 'True']
AJQG01000001.1:['XOC_0083', '2318036', '2319326', '-1', '84.471', 'True']
AJQG01000001.1:['XOC_0077', '2311834', '2312737', '-1', '72.696', 'True']
AJQG01000001.1:['XOC_0084', '2319420', '2320626', '-1', '89.141', 'True']
FMAF01000001.1:['XOC_0081', '6470889', '6471735', '-1', '84.249', 'True']
FMAF01000001.1:['XOC_0082', '6471721', '6472030', '-1', '64.151', 'True']
FMAF01000001.1:['XOC_0078', '6466713', '6468261', '-1', '75.595', 'True']
FMAF01000001.1:['XOC_0084', '6473413', '6474616', '-1', '87.0', 'True']
FMAF01000001.1:['XOC_0079', '6468442', '6469441', '-1', '75.227', 'True']
FMAF01000001.1:['XOC_0083', '38487', '39732', '1', '28.49', 'True']
FMAF01000001.1:['XOC_0083', '6472031', '6473324', '-1', '84.161', 'True']
FMAF01000001.1:['XOC_0080', '6469546', '6470884', '-1', '80.899', 'True']
FMAF01000001.1:['XOC_0077', '6465814', '6466717', '-1', '71.777', 'True']
AKZW01000001.1:['XOC_0083', '1480074', '1480530', '-1', '80.0', 'False']
AKZW01000001.1:['XOC_0083', '5932095', '5933343', '-1', '28.406', 'True']
AKZW01000001.1:['XOC_0081', '3535061', '3535817', '1', '41.365', 'True']
AKZW01000001.1:['XOC_0083', '1480484', '1480910', '-1', '64.103', 'False']
AKZW01000001.1:['XOC_0084', '1481004', '1482207', '-1', '87.0', 'True']
AKZW01000001.1:['XOC_0079', '2175306', '2176221', '1', '42.248', 'True']
AKZW01000001.1:['XOC_0080', '3230776', '3232177', '1', '29.121', 'False']
LFIP02000001.1:['XOC_0084', '5671063', '5672266', '-1', '85.25', 'True']
LFIP02000001.1:['XOC_0083', '5669685', '5670975', '-1', '84.471', 'True']
LFIP02000001.1:['XOC_0078', '5664235', '5665786', '-1', '74.615', 'True']
LFIP02000001.1:['XOC_0077', '5663231', '5664239', '-1', '72.759', 'True']
LFIP02000001.1:['XOC_0082', '5669375', '5669684', '-1', '64.706', 'True']
LFIP02000001.1:['XOC_0081', '5668543', '5669389', '-1', '86.517', 'True']
LFIP02000001.1:['XOC_0079', '5666050', '5667058', '-1', '73.433', 'True']
LFIP02000001.1:['XOC_0080', '5667200', '5668544', '-1', '80.537', 'True']
LGTB01000001.1:['XOC_0084', '2548294', '2549497', '-1', '85.75', 'True']
LGTB01000001.1:['XOC_0079', '2543281', '2544289', '-1', '73.433', 'True']
LGTB01000001.1:['XOC_0081', '2545774', '2546656', '-1', '84.892', 'True']
LGTB01000001.1:['XOC_0078', '2541464', '2543015', '-1', '75.385', 'True']
LGTB01000001.1:['XOC_0077', '2540460', '2541468', '-1', '72.474', 'True']
LGTB01000001.1:['XOC_0080', '2544431', '2545775', '-1', '81.655', 'True']
LGTB01000001.1:['XOC_0083', '2546916', '2548206', '-1', '84.706', 'True']
LGTB01000001.1:['XOC_0082', '2546606', '2546915', '-1', '65.686', 'True']
AXAW01000001.1:['XOC_0083', '6455413', '6456703', '-1', '84.689', 'True']
AXAW01000001.1:['XOC_0078', '6449971', '6451528', '-1', '74.713', 'True']
AXAW01000001.1:['XOC_0081', '6454270', '6455116', '-1', '83.395', 'True']
AXAW01000001.1:['XOC_0082', '6455112', '6455412', '-1', '73.494', 'True']
AXAW01000001.1:['XOC_0077', '6449072', '6449975', '-1', '73.72', 'True']
AXAW01000001.1:['XOC_0080', '6452927', '6454271', '-1', '84.34', 'True']
AXAW01000001.1:['XOC_0079', '6451774', '6452782', '-1', '77.313', 'True']
AXAW01000001.1:['XOC_0084', '6456798', '6458001', '-1', '87.5', 'True']
AJQR01000001.1:['XOC_0084', '5074195', '5075413', '1', '27.719', 'True']
AJQR01000001.1:['XOC_0079', '613982', '614897', '-1', '41.634', 'True']
AJQR01000001.1:['XOC_0076', '5353474', '5353816', '1', '81.818', 'False']
AJQR01000001.1:['XOC_0077', '5353195', '5353396', '1', '70.769', 'False']
AJQR01000001.1:['XOC_0083', '1782959', '1784207', '1', '29.191', 'True']
AJQR01000001.1:['XOC_0081', '3515681', '3516437', '1', '41.833', 'True']
ATZC01000001.1:['XOC_0077', '6072495', '6073398', '-1', '73.72', 'True']
ATZC01000001.1:['XOC_0083', '6078759', '6080052', '-1', '84.884', 'True']
ATZC01000001.1:['XOC_0079', '6075168', '6076278', '-1', '75.522', 'True']
ATZC01000001.1:['XOC_0081', '6077617', '6078463', '-1', '86.716', 'True']
ATZC01000001.1:['XOC_0083', '522816', '524061', '1', '28.488', 'True']
ATZC01000001.1:['XOC_0082', '6078449', '6078758', '-1', '64.706', 'True']
ATZC01000001.1:['XOC_0076', '6071360', '6072410', '-1', '89.736', 'True']
ATZC01000001.1:['XOC_0084', '6080146', '6081349', '-1', '88.25', 'True']
ATZC01000001.1:['XOC_0080', '6076274', '6077612', '-1', '81.573', 'True']
ATZC01000001.1:['XOC_0078', '6073412', '6074945', '-1', '76.134', 'True']
ATYO01000001.1:['XOC_0079', '4505764', '4506763', '1', '76.97', 'True']
ATYO01000001.1:['XOC_0078', '4506970', '4508521', '1', '76.984', 'True']
ATYO01000001.1:['XOC_0084', '4500548', '4501751', '1', '87.75', 'True']
ATYO01000001.1:['XOC_0076', '4509445', '4510543', '1', '85.0', 'True']
ATYO01000001.1:['XOC_0083', '4501845', '4503111', '1', '84.397', 'True']
ATYO01000001.1:['XOC_0082', '4503132', '4503444', '1', '84.397', 'True']
ATYO01000001.1:['XOC_0080', '4504266', '4505610', '1', '85.235', 'True']
ATYO01000001.1:['XOC_0081', '4503394', '4504267', '1', '83.333', 'True']
ATYO01000001.1:['XOC_0077', '4508517', '4509405', '1', '73.356', 'True']
FMAJ01000001.1:['XOC_0086', '6171081', '6172011', '-1', '96.764', 'True']
FMAJ01000001.1:['XOC_0080', '6441088', '6442477', '1', '77.982', 'True']
FMAJ01000001.1:['XOC_0078', '6443198', '6444752', '1', '74.206', 'True']
FMAJ01000001.1:['XOC_0084', '6437373', '6438654', '1', '84.5', 'True']
FMAJ01000001.1:['XOC_0083', '6438659', '6439937', '1', '84.0', 'True']
FMAJ01000001.1:['XOC_0076', '6445637', '6446786', '1', '82.222', 'True']
FMAJ01000001.1:['XOC_0081', '6440246', '6441089', '1', '84.791', 'True']
FMAJ01000001.1:['XOC_0077', '6444748', '6445651', '1', '69.492', 'True']
FMAJ01000001.1:['XOC_0082', '6439943', '6440138', '1', '84.0', 'True']
FMAJ01000001.1:['XOC_0079', '4229035', '4229950', '1', '43.922', 'True']
AZUX01000001.1:['XOC_0084', '5611199', '5612402', '1', '88.5', 'True']
AZUX01000001.1:['XOC_0085', '5600782', '5602015', '-1', '82.383', 'True']
AZUX01000001.1:['XOC_0076', '5620166', '5621216', '1', '88.563', 'True']
AZUX01000001.1:['XOC_0082', '5613791', '5614100', '1', '65.686', 'True']
AZUX01000001.1:['XOC_0081', '5614086', '5614923', '1', '85.348', 'True']
AZUX01000001.1:['XOC_0077', '5619178', '5620066', '1', '73.356', 'True']
AZUX01000001.1:['XOC_0079', '5616408', '5617416', '1', '78.806', 'True']
AZUX01000001.1:['XOC_0078', '5617631', '5619182', '1', '76.538', 'True']
AZUX01000001.1:['XOC_0080', '5614922', '5616266', '1', '82.998', 'True']
AZUX01000001.1:['XOC_0083', '5612497', '5613790', '1', '83.953', 'True']
AJQP01000001.1:['XOC_0079', '4984502', '4985417', '-1', '39.721', 'True']
AJQP01000001.1:['XOC_0076', '5745884', '5746934', '-1', '89.443', 'True']
AJQP01000001.1:['XOC_0077', '5747019', '5747922', '-1', '74.061', 'True']
AJQP01000001.1:['XOC_0084', '5399114', '5400335', '1', '28.92', 'True']
AJQP01000001.1:['XOC_0083', '5752246', '5753554', '-1', '34.347', 'True']
AJQP01000001.1:['XOC_0080', '5749604', '5751725', '-1', '86.217', 'True']
AJQP01000001.1:['XOC_0078', '5747918', '5749469', '-1', '76.154', 'True']
AJQP01000001.1:['XOC_0081', '366671', '367463', '1', '38.492', 'True']
AJQP01000001.1:['XOC_0082', '5751936', '5752245', '-1', '63.725', 'True']
CAAF010000001.1:['XOC_0080', '1893062', '1894406', '1', '86.353', 'True']
CAAF010000001.1:['XOC_0081', '1892208', '1893063', '1', '81.695', 'True']
CAAF010000001.1:['XOC_0079', '1894556', '1895522', '1', '78.75', 'True']
CAAF010000001.1:['XOC_0083', '1890647', '1891937', '1', '85.116', 'True']
CAAF010000001.1:['XOC_0085', '1735026', '1736163', '-1', '82.447', 'True']
CAAF010000001.1:['XOC_0077', '1897315', '1898218', '1', '74.403', 'True']
CAAF010000001.1:['XOC_0084', '1889350', '1890553', '1', '88.0', 'True']
CAAF010000001.1:['XOC_0082', '1891938', '1892196', '1', '81.695', 'True']
CAAF010000001.1:['XOC_0076', '1898302', '1899358', '1', '88.047', 'True']
CAAF010000001.1:['XOC_0078', '1895768', '1897319', '1', '75.577', 'True']
JZXD01000001.1:['XOC_0083', '5911920', '5912976', '1', '81.915', 'True']
JZXD01000001.1:['XOC_0084', '5910623', '5911826', '1', '87.0', 'True']
JZXD01000001.1:['XOC_0081', '2821440', '2822196', '-1', '40.964', 'True']
JZXD01000001.1:['XOC_0076', '5735973', '5736732', '-1', '81.395', 'False']
JZXD01000001.1:['XOC_0079', '4103728', '4104643', '-1', '42.248', 'True']
JZXD01000001.1:['XOC_0080', '4712109', '4713510', '1', '29.121', 'False']
AXAY01000001.1:['XOC_0077', '7536807', '7537710', '1', '72.355', 'True']
AXAY01000001.1:['XOC_0080', '7532529', '7533873', '1', '85.459', 'True']
AXAY01000001.1:['XOC_0076', '7537794', '7538016', '1', '77.778', 'False']
AXAY01000001.1:['XOC_0081', '7531648', '7532530', '1', '87.912', 'True']
AXAY01000001.1:['XOC_0084', '7528802', '7530005', '1', '89.25', 'True']
AXAY01000001.1:['XOC_0078', '7535266', '7536811', '1', '76.346', 'True']
AXAY01000001.1:['XOC_0086', '7538024', '7538957', '-1', '84.314', 'True']
AXAY01000001.1:['XOC_0083', '7530098', '7531388', '1', '86.525', 'True']
AXAY01000001.1:['XOC_0082', '7531389', '7531698', '1', '64.706', 'True']
AXAY01000001.1:['XOC_0083', '883950', '885180', '1', '31.892', 'True']
AXAY01000001.1:['XOC_0079', '7533978', '7535253', '1', '72.84', 'False']
AXAL01000001.1:['XOC_0082', '7316595', '7317450', '-1', '81.695', 'True']
AXAL01000001.1:['XOC_0081', '7316325', '7316583', '-1', '81.695', 'True']
AXAL01000001.1:['XOC_0080', '7314982', '7316326', '-1', '86.801', 'True']
AXAL01000001.1:['XOC_0079', '7313866', '7314832', '-1', '79.375', 'True']
AXAL01000001.1:['XOC_0077', '7311106', '7312009', '-1', '73.038', 'True']
AXAL01000001.1:['XOC_0085', '7424806', '7426039', '1', '81.347', 'True']
AXAL01000001.1:['XOC_0084', '7318835', '7320038', '-1', '89.25', 'True']
AXAL01000001.1:['XOC_0083', '7317451', '7318741', '-1', '84.419', 'True']
AXAL01000001.1:['XOC_0078', '7312005', '7313556', '-1', '76.529', 'True']
AXAL01000001.1:['XOC_0076', '7309966', '7311022', '-1', '87.755', 'True']
KI632510.1:['XOC_0081', '6412303', '6413158', '1', '81.695', 'True']
KI632510.1:['XOC_0076', '6418461', '6419517', '1', '87.755', 'True']
KI632510.1:['XOC_0082', '6412033', '6412291', '1', '81.695', 'True']
KI632510.1:['XOC_0079', '6414651', '6415617', '1', '79.375', 'True']
KI632510.1:['XOC_0078', '6415927', '6417478', '1', '76.529', 'True']
KI632510.1:['XOC_0084', '6409445', '6410648', '1', '89.25', 'True']
